Source,Target
1,17
1,258
1,278
1,443
2,8
2,130
2,241
2,245
2,376
2,467
3,20
3,39
3,82
3,226
3,294
4,41
4,98
4,109
4,217
4,298
4,485
4,461
5,80
5,264
5,365
5,481
6,134
6,141
6,266
6,347
6,463
7,55
7,159
7,172
7,285
7,453
8,2
8,61
8,235
8,268
8,277
8,418
8,440
9,24
9,327
9,349
9,353
10,299
10,352
10,455
11,142
11,371
11,429
11,471
11,473
12,35
12,75
12,150
12,347
12,378
13,25
13,137
13,251
13,362
14,62
14,177
14,272
14,351
15,113
15,210
15,252
15,287
16,104
16,211
16,316
16,414
17,1
17,86
17,117
17,443
18,20
18,244
18,251
18,253
18,444
19,67
19,112
19,190
19,283
19,370
19,401
20,52
20,294
20,435
20,444
20,468
21,52
21,111
21,141
21,381
22,45
22,62
22,81
22,86
22,154
22,195
22,420
23,50
23,125
23,157
23,375
23,410
23,422
24,82
24,266
24,309
24,372
25,186
25,153
25,242
25,251
25,360
26,137
26,169
26,373
26,462
27,500
27,404
27,408
27,455
27,470
28,129
28,212
28,249
28,322
29,16
29,113
29,499
29,263
29,303
29,312
30,291
30,317
30,379
30,428
30,449
31,12
31,150
31,158
31,270
32,111
32,189
32,346
32,394
33,52
33,145
33,209
33,250
33,340
33,427
34,35
34,37
34,76
34,199
34,213
35,34
35,182
35,228
35,293
35,457
36,63
36,113
36,123
36,147
36,304
36,446
37,34
37,49
37,76
37,199
37,345
38,143
38,225
38,477
38,493
39,78
39,82
39,309
39,378
40,65
40,139
40,337
40,414
41,95
41,101
41,109
41,114
41,214
41,399
42,4
42,41
42,101
42,163
43,203
43,215
43,233
43,373
43,414
44,149
44,298
44,320
44,374
44,461
45,22
45,81
45,154
45,245
45,263
46,121
46,173
46,184
46,411
47,8
47,242
47,365
47,449
48,38
48,45
48,62
48,267
48,328
48,351
49,34
49,37
49,109
49,121
49,196
50,73
50,124
50,206
50,303
50,466
50,477
51,34
51,100
51,199
51,407
51,457
52,33
52,113
52,144
52,150
52,486
53,59
53,158
53,276
53,436
54,274
54,310
54,363
54,400
55,159
55,228
55,318
55,482
55,484
56,19
56,190
56,254
56,317
57,46
57,178
57,388
57,394
58,61
58,77
58,113
58,332
58,388
59,75
59,158
59,413
59,486
60,71
60,209
60,244
60,333
60,411
61,58
61,169
61,318
61,332
61,388
62,14
62,195
62,319
62,331
62,351
63,36
63,113
63,147
63,287
63,304
63,446
64,309
64,346
64,363
64,476
65,40
65,139
65,287
65,337
65,373
66,70
66,227
66,263
66,274
66,310
66,393
67,27
67,68
67,214
67,347
67,401
68,52
68,67
68,116
68,342
69,8
69,94
69,235
69,277
70,54
70,66
70,293
70,310
70,393
71,60
71,113
71,197
71,244
71,446
72,137
72,153
72,384
72,441
72,447
73,50
73,303
73,317
73,379
73,428
73,477
74,275
74,312
74,454
74,467
75,59
75,150
75,158
75,413
75,486
76,37
76,34
76,49
76,199
76,345
77,39
77,117
77,149
77,366
77,368
77,388
78,39
78,202
78,234
78,377
78,451
79,8
79,119
79,318
79,418
79,431
80,5
80,34
80,76
80,182
81,22
81,45
81,63
81,93
81,236
81,478
82,106
82,309
82,372
82,378
82,457
82,476
83,92
83,120
83,143
83,213
83,317
83,321
84,54
84,132
84,175
84,176
84,426
85,35
85,90
85,182
85,457
86,4
86,17
86,42
86,101
87,100
87,178
87,346
87,394
88,62
88,125
88,217
88,351
88,365
88,475
89,187
89,216
89,388
89,435
89,464
90,85
90,116
90,131
90,200
91,224
91,257
91,260
91,308
91,469
92,83
92,291
92,406
92,456
92,487
93,81
93,113
93,123
93,287
93,446
93,478
94,34
94,69
94,213
94,246
94,277
95,101
95,163
95,194
95,298
95,461
96,75
96,138
96,183
96,276
97,202
97,210
97,237
97,402
97,432
98,4
98,102
98,109
98,365
98,461
99,25
99,141
99,243
99,362
99,410
99,412
100,142
100,150
100,173
100,221
100,262
101,4
101,41
101,95
101,109
101,163
102,105
102,114
102,399
102,401
102,461
103,116
103,121
103,463
103,485
104,43
104,63
104,373
104,414
105,56
105,98
105,114
105,317
105,358
105,428
106,82
106,78
106,144
106,346
107,270
107,293
107,352
108,114
108,291
108,311
108,399
109,95
109,102
109,163
109,298
109,461
110,58
110,79
110,119
110,319
110,431
111,21
111,141
111,198
111,264
112,41
112,98
112,190
112,214
112,401
113,52
113,63
113,123
113,236
113,287
113,446
114,42
114,102
114,105
114,358
114,399
115,120
115,219
115,220
115,459
115,464
116,59
116,68
116,150
116,185
116,305
117,77
117,121
117,173
117,228
117,366
117,368
118,62
118,154
118,331
118,351
119,58
119,74
119,110
119,418
119,431
120,213
120,261
120,459
120,487
121,49
121,102
121,103
121,173
121,400
122,245
122,255
122,295
122,328
122,419
122,452
123,93
123,111
123,113
123,236
123,287
123,446
124,50
124,170
124,288
124,325
124,466
124,477
125,133
125,186
125,303
125,452
125,475
126,2
126,282
126,296
126,334
126,362
126,395
127,203
127,245
127,337
127,373
127,480
128,33
128,145
128,162
128,197
128,409
129,28
129,142
129,212
129,249
129,265
129,322
130,2
130,275
130,289
130,315
130,316
131,82
131,365
131,378
131,476
132,77
132,84
132,175
132,309
132,366
133,187
133,230
133,303
133,396
133,475
134,6
134,106
134,309
134,372
134,457
135,150
135,224
135,308
135,377
135,469
136,209
136,499
136,238
136,336
136,475
137,13
137,26
137,153
137,447
137,462
138,75
138,96
138,183
138,279
138,299
139,40
139,65
139,232
139,252
139,337
140,125
140,133
140,261
140,303
140,475
141,75
141,150
141,198
141,266
141,390
142,100
142,129
142,168
142,265
142,400
142,457
143,38
143,377
143,381
143,468
144,6
144,52
144,78
144,141
144,309
145,33
145,52
145,250
145,335
145,348
146,61
146,169
146,318
146,388
147,113
147,188
147,256
147,312
147,398
147,446
148,203
148,269
148,382
148,422
148,480
149,44
149,121
149,173
149,400
149,457
150,75
150,270
150,305
150,486
150,491
151,17
151,97
151,210
151,237
151,377
151,469
152,30
152,108
152,121
152,291
152,402
152,487
153,72
153,137
153,228
153,314
153,359
153,447
154,22
154,122
154,195
154,217
154,238
154,351
155,69
155,235
155,241
155,268
155,307
155,329
155,474
156,241
156,246
156,268
156,275
156,289
157,89
157,162
157,220
157,261
157,314
157,435
158,53
158,59
158,75
158,150
158,352
159,7
159,55
159,193
159,257
159,453
159,482
160,251
160,362
160,395
160,441
160,458
161,188
161,217
161,282
161,334
161,362
161,395
162,18
162,20
162,128
162,253
162,409
163,41
163,95
163,109
163,328
163,461
164,3
164,25
164,146
164,177
164,226
165,150
165,276
165,413
165,486
165,490
166,211
166,275
166,289
166,387
166,458
167,183
167,279
167,280
167,338
168,102
168,142
168,150
168,371
168,380
169,14
169,61
169,146
169,272
169,318
169,388
170,83
170,133
170,186
170,230
170,303
171,191
171,280
171,293
171,343
171,356
172,78
172,200
172,260
172,285
172,378
173,46
173,121
173,142
173,149
173,443
174,48
174,142
174,173
174,267
174,328
175,84
175,132
175,357
175,369
176,54
176,273
176,309
176,356
177,14
177,18
177,137
177,164
177,388
177,431
178,57
178,87
178,309
178,394
179,252
179,269
179,422
179,480
180,313
180,341
180,424
180,477
181,39
181,121
181,131
181,378
181,453
182,4
182,35
182,365
182,457
183,96
183,138
183,167
183,357
183,486
184,293
184,309
184,372
184,394
185,59
185,75
185,116
185,150
185,305
185,415
186,18
186,125
186,170
186,303
186,348
187,13
187,89
187,230
187,313
187,479
188,113
188,147
188,161
188,251
188,256
188,395
189,168
189,291
189,371
189,380
189,468
190,19
190,49
190,56
190,214
190,401
191,10
191,171
191,293
191,463
192,9
192,309
192,372
192,457
193,117
193,219
193,223
193,439
193,451
194,163
194,437
194,461
194,487
195,14
195,62
195,255
195,263
195,351
195,414
196,117
196,121
196,173
196,262
197,116
197,128
197,207
197,414
198,141
198,192
198,300
198,340
198,396
199,37
199,51
199,76
199,345
199,423
200,78
200,82
200,234
200,378
200,381
201,25
201,248
201,251
201,362
201,395
202,97
202,223
202,377
202,400
202,451
203,43
203,207
203,233
203,414
204,50
204,224
204,308
204,424
204,469
205,137
205,153
205,384
205,434
205,447
206,83
206,92
206,204
206,317
206,406
206,487
207,43
207,145
207,197
207,203
207,414
208,89
208,177
208,205
208,351
208,383
208,446
209,125
209,186
209,243
209,303
209,475
210,15
210,97
210,237
210,402
210,432
210,469
211,14
211,16
211,166
211,318
211,331
212,129
212,221
212,249
212,322
213,120
213,220
213,317
213,464
213,487
214,41
214,102
214,105
214,190
214,401
215,43
215,203
215,225
215,244
216,89
216,499
216,253
216,303
216,388
216,395
217,46
217,105
217,108
217,124
217,161
217,490
218,161
218,188
218,251
218,362
219,55
219,91
219,159
219,439
219,482
220,213
220,217
220,291
220,464
220,487
221,97
221,141
221,150
221,202
221,302
221,429
222,38
222,42
222,143
222,358
223,78
223,135
223,142
223,193
223,451
224,135
224,308
224,439
224,450
224,469
225,56
225,215
225,417
225,493
226,3
226,77
226,164
226,397
227,10
227,54
227,66
227,310
227,393
228,55
228,77
228,117
228,264
228,288
228,368
229,77
229,117
229,228
229,343
229,365
229,368
230,133
230,187
230,238
230,295
231,83
231,204
231,321
231,388
231,424
231,487
232,139
232,337
232,373
232,452
233,203
233,251
233,360
233,480
233,484
234,200
234,223
234,400
234,451
