Id,Label
1,"Jacques-Laurent AGASSE - The Nubian Giraffe"
2,"Josef ALBERS - Homage to the Square"
3,"Alessandro ALGARDI - Bust of Cardinal Paolo Emilio Zacchia"
4,"Washington ALLSTON - Landscape with a Lake"
5,"Sir Lawrence ALMA-TADEMA - A Coign of Vantage"
6,"Albrecht ALTDORFER - Battle of Alexander at Issus"
7,"Jacopo AMIGONI - Juno Receives the Head of Argus"
8,"Carl ANDRE - Zinc Magnesium Plain"
9,"ANDREA DEL SARTO - Assumption of the Virgin"
10,"Fra ANGELICO - The Annunciation"
11,"Sofonisba ANGUISSOLA - Self-portrait"
12,"ANTONELLO DA MESSINA - Saint Jerome in his Study"
13,"Karel APPEL - Phantom with Mask"
14,"Alexander ARCHIPENKO - Walking"
15,"Giuseppe ARCIMBOLDO - Summer"
16,"Jean ARP - Leaves and Navels, I"
17,"John James AUDUBON - Roseate Spoonbill"
18,"Frank AUERBACH - J Y M Seated in the Studio VI"
19,"Hendrick AVERCAMP - A Scene on the Ice Near a Town"
20,"Francis BACON - Study after Velazquez's Portrait of Pope Innocent X"
21,"Hans BALDUNG - The Three Ages of Man and Death"
22,"Giacomo BALLA - Flight of the Swallows"
23,"BALTHUS - Girl and Cat"
24,"Fra BARTOLOMMEO - Resurrected Christ with Saints"
25,"Georg BASELITZ - More Blondes"
26,"Jean-Michel BASQUIAT - Untitled"
27,"Jacopo BASSANO - The Animals Entering the Ark"
28,"Pompeo BATONI - Thomas William Coke"
29,"Willi BAUMEISTER - Mortaruru with Red Overhead"
30,"Fréderic BAZILLE - The Artist's Studio on the rue de la Condamine"
31,"André BEAUNEVEU - Saint Philip"
32,"Domenico BECCAFUMI - Tanaquil, Wife of Lucomo"
33,"Max BECKMANN - Departure"
34,"Gentile BELLINI - The Miracle of the True Cross near the San Lorenzo Bridge"
35,"Giovanni BELLINI - Young Woman at her Toilet"
36,"Hans BELLMER - The Spinning Top"
37,"Bernardo BELLOTTO - View of the Ponte delle Navi, Verona"
38,"George BELLOWS - Forty-two Kids"
39,"Gianlorenzo BERNINI - The Ecstasy of Saint Theresa"
